address;category;id;lat;lng;location;name;originalId;polarity;subCategory;details;reviews
Berlin,   Germany    Wielandstraße 27, Charlottenburg-Wilmersdorf, 10707 Berlin;accommodation;233240;52.500354425829;13.315086364746;Berlin;Hotel Pension Kima;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233240;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233240
Berlin,   Germany    Wilhelmsruher Damm 166, Reinickendorf, 13435 Berlin;accommodation;95005;52.596421907511;13.346771299839;Berlin;Hotel Garni Wilhelmsruher Damm;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=95005;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=95005
Berlin,   Germany    Wilhelmstr. 48, Mitte, 10117  Berlin;accommodation;233336;52.512246221433;13.383596688509;Berlin;Hostel near the Brandenburg Gate;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233336;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233336
Berlin,   Germany    Wilkestr. 2, Reinickendorf, 13507 Berlin;accommodation;104597;52.588358046783;13.275180459023;Berlin;Hotel am Tegeler See;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=104597;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=104597
Berlin,   Germany    Winterfeldstr. 42, 10781 Berlin;accommodation;233310;52.497189921846;13.354278802872;Berlin;Hotel-Pension Michele;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233310;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233310
Berlin,   Germany    Wittelsbacherstr. 22, Charlottenburg-Wilmersdorf, 10707 Berlin;accommodation;233228;52.49511605215;13.31001162529;Berlin;Hotel Wittelsbach am Kurfürstendamm;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233228;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233228
Berlin,   Germany    Wundtstr. 72, Charlottenburg-Wilmersdorf, 14057 Berlin;accommodation;111382;52.506970899444;13.283724635839;Berlin;Hotel Messe am Funkturm;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=111382;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111382
Berlin,   Germany    Wünsdorfer Str. 108, 12307 Berlin;accommodation;233554;52.387460848662;13.394737243652;Berlin;Hotel Kryom's 108;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233554;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233554
Berlin,   Germany    Xantener Str. 1, Charlottenburg-Wilmersdorf, 10707 Berlin;accommodation;106770;52.498856295084;13.30761641264;Berlin;Hotel Pension Xantener Eck;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=106770;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=106770
Berlin,   Germany    Xantener Str. 4, Charlottenburg-Wilmersdorf, 10707 Berlin;accommodation;215559;52.498913445423;13.309233784676;Berlin;Hotel Quentin Berlin am Kurfürstendamm;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=215559;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215559
